"IATACode","country","fullName","latitude","longitude","airportName","units","source"
"GPI","Colombia","Guapi","2.57","-77.9","Guapi [GPI]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"GPS","Galapagos Islands (Ecuador)","Seymour","-0.45","-90.27","Galapagos [GPS]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"GRB","United States","Austin Straubel International","44.49","-88.13","Green Bay [GRB]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"GRF","United States","Gray Army Air Field","47.08","-122.58","Fort Lewis [GRF]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"GRJ","South Africa","George","-34.01","22.38","George [GRJ]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"GRK","United States","Robert Gray Army Air Field","31.07","-97.83","Killeen [GRK]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"GRO","Spain","Girona","41.9","2.76","Gerona [GRO]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"GRQ","Netherlands","Eelde","53.12","6.58","Groningen [GRQ]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"GRR","United States","Gerald R Ford International","42.88","-85.52","Grand Rapids [GRR]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"GRS","Italy","Grosseto","42.76","11.07","Grosseto [GRS]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"GRU","Brazil","Guarulhos","-23.43","-46.47","Sao Paulo [GRU]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"GRW","Azores","Graciosa","39.09","-28.03","Graciosa Island [GRW]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"GRX","Spain","Granada/Armilla","37.19","-3.78","Granada [GRX]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"GRZ","Austria","Graz Mil/Civ","47","15.43","Graz [GRZ]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"GSB","United States","Seymour Johnson Air Force Base","35.34","-77.96","Goldsboro [GSB]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"GSE","Sweden","Save","57.77","11.87","Gothenborg [GSE]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"GSF","Algeria","Setif Ain Arnat","36.18","5.32","Setif [GSF]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"GTB","United States","Wheeler Sack Army Air Field","44.06","-75.72","Fort Drum [GTB]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"GTF","United States","Great Falls International","47.48","-111.37","Great Falls [GTF]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"GTN","New Zealand","Mount Cook","-43.77","170.13","Mount Cook [GTN]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"GTO","Indonesia","Jalaluddin","0.64","122.85","Gorontalo [GTO]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"GUA","Guatemala","La Aurora","14.58","-90.53","Guatemala City [GUA]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"GUI","Venezuela","Guiria","10.57","-62.31","Guiria [GUI]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"GUM","Mariana Islands","Guam International","13.48","144.8","Agana [GUM]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"GUQ","Venezuela","Guanare","9.03","-69.76","Guanare [GUQ]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"GUS","United States","Grissom Arb","40.65","-86.15","Peru [GUS]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"GUT","Germany","Gutersloh","51.92","8.31","Guetersloh [GUT]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"GVA","Switzerland","Geneva Cointrin","46.24","6.11","Geneva [GVA]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"GVT","United States","Majors","33.07","-96.07","Greenvile [GVT]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"GVW","United States","Richards Gebaur Memorial","38.84","-94.56","Grandview [GVW]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"GVX","Sweden","Gavle Sandviken","60.59","16.95","Gavle [GVX]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"GWD","Pakistan","Gwadar","25.23","62.33","Gwadar [GWD]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"GWE","Zimbabwe","Gweru Thornhill","-19.44","29.86","Gwert [GWE]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"GWL","India","Gwalior","26.29","78.23","Gwalior [GWL]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"GWO","United States","Greenwood Leflore","33.49","-90.08","Greenwood [GWO]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"GWT","Germany","Westerland Sylt","54.91","8.34","Westerland [GWT]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"GWW","Germany","Goldsboro Wayne Municipal","35.46","-77.96","Gotha Ost [GWW]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"GWY","Ireland","Galway","53.3","-8.94","Galway [GWY]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"GXG","Angola","Negage","-7.75","15.29","Negage [GXG]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"GXQ","Chile","Teniente Vidal","-45.59","-72.11","Coyhaique [GXQ]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"GYA","Bolivia","Cap De Av Emilio Beltran","-10.82","-65.35","Guayaramerin [GYA]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"GYE","Ecuador","Simon Bolivar International","-2.16","-79.88","Guayaquil [GYE]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"GYI","Rwanda","Gisenyi","-1.68","29.26","Gisenyi [GYI]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"GYM","Mexico","General Jose Maria Yanez International","27.97","-110.93","Guaymas [GYM]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"GYN","Brazil","Santa Genoveva","-16.63","-49.22","Goiania [GYN]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"GZT","Turkey","Oguzeli","36.95","37.48","Gaziantep [GZT]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"HAA","Norway","Hasvik","70.49","22.14","Hasvik [HAA]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"HAC","Japan","Hachijojima","33.12","139.79","Hachijojima [HAC]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"HAD","Sweden","Halmstad","56.69","12.82","Halmstad [HAD]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"HAH","Comoros Islands","Moroni Hahaia","-11.53","43.27","Moroni [HAH]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"HAJ","Germany","Hannover","52.46","9.69","Hannover [HAJ]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"HAM","Germany","Hamburg","53.63","9.99","Hamburg [HAM]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"HAN","Vietnam","Noibai International","21.22","105.81","Hanoi [HAN]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"HAR","United States","Capital City Airport","40.22","-76.85","Harrisburg [HAR]","degrees N and E","amee/defra 2008"
"HAS","Saudi Arabia","Hail","27.44","41.69","Hail [HAS]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"HAU","Norway","Haugesund Karmoy","59.35","5.21","Haugesund [HAU]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"HAV","Cuba","Jose Marti International","22.99","-82.41","Havana [HAV]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"HBA","Australia","Hobart","-42.84","147.51","Hobart [HBA]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"HBR","United States","Hobart Municipal","34.99","-99.05","Hobart [HBR]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"HBT","Saudi Arabia","King Khaled Military City","27.9","45.53","King Khalid Mil.City [HBT]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"HCS","South Africa","Rand","-26.24","28.15","Johannesburg [HCS]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"HDD","Pakistan","Hyderabad","25.32","68.37","Hyderabad [HDD]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"HDH","United States","Dillingham","21.58","-158.21","Dillingham [HDH]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"HDS","South Africa","Hoedspruit Afs","-24.37","31.05","Hoedspruit [HDS]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"HDY","Thailand","Hat Yai International","6.93","100.39","Songkhla [HDY]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"HEA","Afghanistan","Herat","34.21","62.23","Herat [HEA]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"HEH","Myanmar (Burma)","Heho","20.74","96.79","Heho [HEH]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"HEL","Finland","Helsinki Vantaa","60.32","24.96","Helsinki [HEL]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"HEM","Finland","Helsinki Malmi","60.25","25.04","Helsinki [HEM]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"HER","Greece","Nikos Kazantzakis","35.34","25.18","Heraklion [HER]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"HEW","Greece","Athinai","37.89","23.73","Athens [HEW]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"HEX","Dominican Republic","Herrera International","18.47","-69.97","Santo Domingo [HEX]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"HFA","Israel","Haifa","32.81","35.04","Haifa [HFA]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"HFD","United States","Hartford Brainard","41.74","-72.65","Hartford [HFD]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"HFE","China","Luogang","31.78","117.3","Hefei [HFE]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"HFN","Iceland","Hornafjordur","64.3","-15.23","Hofn [HFN]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"HGA","Somalia","Hargeisa","9.52","44.09","Hargeisa [HGA]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"HGH","China","Xiaoshan","30.23","120.43","Hangzhou [HGH]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"HGO","Ivory Coast","Korhogo","9.39","-5.56","Korhogo [HGO]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"HGS","Sierra Leone","Hastings","8.39","-13.13","Hastings [HGS]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"HGU","Papua New Guinea","Mount Hagen","-5.83","144.3","Mount Hagen [HGU]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"HHN","Germany","Frankfurt Hahn","49.95","7.26","Hahn [HHN]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"HHQ","Thailand","Hua Hin","12.63","99.95","Prachuap Khiri Khan [HHQ]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"HHR","United States","Jack Northrop Field Hawthorne Municipal","33.92","-118.34","Hawthorne [HHR]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"HIB","United States","Chisholm Hibbing","47.39","-92.84","Hibbing [HIB]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"HIF","United States","Hill Air Force Base","41.12","-111.97","Ogden [HIF]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"HIJ","Japan","Hiroshima","34.44","132.92","Hiroshima [HIJ]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"HIR","Solomon Islands","Honiara","-9.43","160.05","Honiara [HIR]","degrees N and E","amee/defra 2008"
"HJR","India","Khajuraho","24.82","79.92","Khajuraho [HJR]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"HKD","Japan","Hakodate","41.77","140.82","Hakodate [HKD]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"HKG","China","Hong Kong International","22.31","113.91","Hong Kong [HKG]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"HKK","New Zealand","Hokitika","-42.71","170.99","Hokitika [HKK]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"HKT","Thailand","Phuket International","8.11","98.32","Phuket [HKT]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"HKY","United States","Hickory Regional","35.74","-81.39","Hickory [HKY]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"HLA","South Africa","Lanseria","-25.94","27.93","Johannesburg [HLA]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"HLD","China","Dongshan","49.21","119.83","Hailar [HLD]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"HLF","Sweden","Hultsfred","57.53","15.82","Hultsfred [HLF]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"HLN","United States","Helena Regional","46.61","-111.98","Helena [HLN]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"HLP","Indonesia","Halim Perdanakusuma International","-6.27","106.89","Jakarta [HLP]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"HLR","United States","Hood Army Air Field","31.14","-97.71","Fort Hood [HLR]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"HLZ","New Zealand","Hamilton","-37.87","175.33","Hamilton [HLZ]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"HME","Algeria","Oued Irara","31.67","6.14","Hassi-Messaoud [HME]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"HMN","United States","Holloman Air Force Base","32.85","-106.11","Alamogordo [HMN]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"HMO","Mexico","General Ignacio P Garcia International","29.1","-111.05","Hermosillo [HMO]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"HMR","Norway","Stafsberg","60.82","11.07","Hamar [HMR]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"HNA","Japan","Hanamaki","39.43","141.14","Hanamaki [HNA]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"HND","Japan","Tokyo International","35.55","139.78","Tokyo [HND]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"HNL","United States","Honolulu International","21.32","-157.93","Honolulu [HNL]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"HNM","United States","Hana","20.8","-156.01","Hana [HNM]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"HOB","United States","Lea County Regional","32.69","-103.22","Hobbs [HOB]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"HOF","Saudi Arabia","Al Ahsa","25.28","49.49","Al-Ahsa [HOF]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"HOG","Cuba","Frank Pais","20.79","-76.32","Holguin [HOG]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"HOI","Tuamotu Islands","Hao","-18.07","-140.95","Hao Island [HOI]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"HOM","United States","Homer","59.65","-151.48","Homer [HOM]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"HON","United States","Huron Regional","44.39","-98.23","Huron [HON]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"HOP","United States","Campbell Army Air Field","36.67","-87.5","Hopkinsville [HOP]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"HOQ","Germany","Hof Plauen","50.29","11.85","Hof [HOQ]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"HOR","Azores","Horta","38.52","-28.72","Faial Island [HOR]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"HOU","United States","William P Hobby","29.65","-95.28","Houston [HOU]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"HOW","Panama","Howard Air Force Base","8.91","-79.6","Howard [HOW]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"HPA","Tonga","Haapai","-19.78","-174.34","Ha'apai [HPA]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"HPN","United States","Westchester County","41.07","-73.71","White Plains [HPN]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"HRB","China","Taiping","45.62","126.25","Harbin [HRB]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"HRE","Zimbabwe","Harare International","-17.93","31.09","Harare [HRE]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"HRG","Egypt","Hurghada International","27.18","33.8","Hurghada [HRG]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"HRK","Ukraine","Kharkiv International Airport","49.92","36.29","Kharkov [HRK]","degrees N and E","amee/defra 2008"
"HRL","United States","Valley International","26.23","-97.65","Harlingen [HRL]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"HRM","Algeria","Hassi R Mel","32.93","3.31","Tilrempt [HRM]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"HRO","United States","Boone County","36.26","-93.15","Harrison [HRO]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"HRT","United States","Hurlburt Field","30.43","-86.69","Mary Esther [HRT]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"HST","United States","Homestead Arb","25.49","-80.38","Homestead [HST]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"HTA","Russia","Kadala","52.03","113.31","Chita [HTA]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"HTF","United Kingdom","Hatfield","51.77","0.25","Hatfield [HTF]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"HTL","United States","Roscommon Co","44.36","-84.67","Houghton Lake [HTL]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"HTN","China","Hotan","37.04","79.87","Hotan [HTN]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"HUA","United States","Redstone Army Air Field","34.68","-86.68","Redstone [HUA]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"HUE","New Zealand","Niue International","-19.08","-169.93","Alofi [HUE]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"HUF","United States","Terre Haute International Hulman Field","39.45","-87.31","Terre Haute [HUF]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"HUH","French Polynesia","Huahine","-16.69","-151.02","Huahine Island [HUH]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"HUL","United States","Houlton International","46.12","-67.79","Houlton [HUL]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"HUN","Taiwan","Hualien","24.02","121.62","Hualien [HUN]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"HUV","Sweden","Hudiksvall","61.77","17.08","Hudiksvall [HUV]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"HUX","Mexico","Bahias De Huatulco International","15.77","-96.26","Bahias Dehuatulco [HUX]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"HUY","United Kingdom","Humberside","53.57","-0.35","Humberside [HUY]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"HVA","Madagascar","Analalava","-14.63","47.76","Analalava [HVA]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"HVR","United States","Havre City County","48.54","-109.76","Havre [HVR]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"HWO","United States","North Perry","26","-80.24","Hollywood [HWO]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"HYD","India","Hyderabad","17.45","78.46","Hyderabad [HYD]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"HZK","Iceland","Husavik","65.95","-17.43","Husavik [HZK]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"IAB","United States","Mc Connell Air Force Base","37.62","-97.27","Wichita [IAB]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"IAD","United States","Washington Dulles International","38.94","-77.46","Washington [IAD]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"IAG","United States","Niagara Falls International","43.11","-78.95","Niagara Falls [IAG]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"IAH","United States","George Bush Intcntl Houston","29.98","-95.34","Houston [IAH]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"IAM","Algeria","In Amenas","28.05","9.64","Zarzaitine [IAM]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"IAS","Romania","Iasi","47.18","27.62","Iasi [IAS]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"IBA","Nigeria","Ibadan","7.36","3.98","Ibadan [IBA]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"IBE","Colombia","Perales","4.42","-75.13","Ibague [IBE]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"IBZ","Spain","Ibiza","38.87","1.37","Ibiza [IBZ]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"ICN","South Korea","Incheon International Airport","37.46","126.44","Seoul [ICN]","degrees N and E","amee/defra 2008"
"ICT","United States","Wichita Mid Continent","37.65","-97.43","Wichita [ICT]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"IDA","United States","Idaho Falls Rgnl","43.514556","-112.07075","Idaho Falls [IDA]","degrees N and E","http://openflights.svn.sourceforge.net/viewvc/openflights/openflights/data/airports.dat"
"IDR","India","Devi Ahilyabai Holkar","22.72","75.8","Indore [IDR]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"IEG","Poland","Babimost","52.14","15.8","Zielona Gora [IEG]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"IEO","Mauritania","Aioun El Atrouss","16.71","-9.64","Aioun El Atrouss [IEO]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"IEV","Ukraine","Zhuliany","50.4","30.45","Kiev [IEV]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"IFJ","Iceland","Isafjordur","66.06","-23.14","Isafjordur [IFJ]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"IGA","Bahamas","Matthew Town","20.98","-73.67","Matthew Town [IGA]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"IGL","Turkey","Cigli","38.51","27.01","Izmir [IGL]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"IGR","Argentina","Cataratas Del Iguazu","-25.74","-54.47","Iguazu Falls [IGR]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"IGU","Brazil","Cataratas International","-25.6","-54.49","Foz Do Iguacu [IGU]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"IKI","Japan","Iki","33.75","129.79","Iki [IKI]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"IKK","United States","Greater Kankakee","41.07","-87.85","Kankakee [IKK]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"IKT","Russia","Irkutsk","52.27","104.39","Irkutsk [IKT]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"ILG","United States","New Castle County","39.68","-75.61","Wilmington [ILG]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"ILI","United States","Iliamna","59.75","-154.91","Iliamna [ILI]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"ILM","United States","Wilmington International","34.27","-77.9","Wilmington [ILM]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"ILO","Philippines","Iloilo","10.71","122.55","Iloilo [ILO]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"ILR","Nigeria","Ilorin","8.44","4.49","Ilorin [ILR]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"ILY","United Kingdom","Islay","55.68","-6.26","Islay [ILY]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"IMF","India","Imphal","24.76","93.9","Imphal [IMF]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"IMP","Brazil","Imperatriz","-5.53","-47.46","Imperatriz [IMP]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"IND","United States","Indianapolis International","39.72","-86.29","Indianapolis [IND]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"ING","Argentina","Lago Argentino","-50.34","-72.25","Lago Argentino [ING]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"INH","Mozambique","Inhambane","-23.88","35.41","Inhambane [INH]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"INK","United States","Winkler County","31.78","-103.2","Wink [INK]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"INL","United States","Falls International","48.57","-93.4","International Falls [INL]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"INN","Austria","Innsbruck","47.26","11.34","Innsbruck [INN]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"INS","United States","Indian Springs Af Aux","36.59","-115.67","Indian Springs [INS]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"INT","United States","Smith Reynolds","36.13","-80.22","Winston-Salem [INT]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"INU","Nauru","Nauru International Airport","-0.55","166.92","Nauru Island [INU]","degrees N and E","amee/defra 2008"
"INV","United Kingdom","Inverness","57.54","-4.05","Inverness [INV]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"INZ","Algeria","In Salah","27.25","2.51","In Salah [INZ]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"IOA","Greece","Ioannina","39.7","20.82","Ioannina [IOA]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"IOM","United Kingdom","Isle Of Man","54.08","-4.62","Isle Of Man [IOM]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"ION","Congo","Impfondo","1.59","18.05","Impfondo [ION]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"IOS","Brazil","Ilheus","-14.82","-39.03","Ilheus [IOS]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"IPC","Chile","Mataveri International","-27.16","-109.42","Easter Island [IPC]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"IPH","Malaysia","Sultan Azlan Shah","4.57","101.09","Ipoh [IPH]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"IPI","Colombia","San Luis","0.86","-77.67","Ipiales [IPI]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"IPL","United States","Imperial County","32.83","-115.58","Imperial [IPL]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"IPN","Brazil","Usiminas","-19.47","-42.49","Ipatinga [IPN]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"IPT","United States","Williamsport Regional","41.24","-76.92","Williamsport [IPT]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"IQQ","Chile","Diego Aracena International","-20.54","-70.18","Iquique [IQQ]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
