manufacturer,model,description,transmission,engineCapacity,fuelType,kgCO2PerKm,source,algorithm
BMW,3 Series E90/E91/E92/E93,320i Touring,M6,1995,Petrol,0.182,http://www.vcacarfueldata.org.uk/downloads/latest.asp 04 July 2006,1.15*value*user_distance_km
BMW,3 Series E90/E91/E92/E93,320i Touring,A6,1995,Petrol,0.196,http://www.vcacarfueldata.org.uk/downloads/latest.asp 04 July 2006,1.15*value*user_distance_km
BMW,3 Series E90/E91/E92/E93,325i Touring,M6,2497,Petrol,0.208,http://www.vcacarfueldata.org.uk/downloads/latest.asp 25 May 2005,1.15*value*user_distance_km
BMW,3 Series E90/E91/E92/E93,325i Touring,A6,2497,Petrol,0.222,http://www.vcacarfueldata.org.uk/downloads/latest.asp 25 May 2005,1.15*value*user_distance_km
BMW,3 Series E90/E91/E92/E93,330i Touring,M6,2996,Petrol,0.214,http://www.vcacarfueldata.org.uk/downloads/latest.asp 18 November 2005,1.15*value*user_distance_km
BMW,3 Series E90/E91/E92/E93,330i Touring,A6,2996,Petrol,0.224,http://www.vcacarfueldata.org.uk/downloads/latest.asp 18 November 2005,1.15*value*user_distance_km
BMW,3 Series E90/E91/E92/E93,335i Touring,M6,2979,Petrol,0.235,http://www.vcacarfueldata.org.uk/downloads/latest.asp 26 July 2006,1.15*value*user_distance_km
BMW,3 Series E90/E91/E92/E93,335i Touring,A6,2979,Petrol,0.235,http://www.vcacarfueldata.org.uk/downloads/latest.asp 26 July 2006,1.15*value*user_distance_km
BMW,5 Series E60/E61,520d Saloon - with particle filter,M6,1995,Diesel,0.158,http://www.vcacarfueldata.org.uk/downloads/latest.asp 30 November 2006,1.15*value*user_distance_km
BMW,5 Series E60/E61,520d Saloon - with particle filter,A6,1995,Diesel,0.185,http://www.vcacarfueldata.org.uk/downloads/latest.asp 30 November 2006,1.15*value*user_distance_km
BMW,5 Series E60/E61,525d Saloon - with particle filter,M6,2993,Diesel,0.165,http://www.vcacarfueldata.org.uk/downloads/latest.asp 18 April 2007,1.15*value*user_distance_km
BMW,5 Series E60/E61,525d Saloon - with particle filter,A6,2993,Diesel,0.172,http://www.vcacarfueldata.org.uk/downloads/latest.asp 18 April 2007,1.15*value*user_distance_km
BMW,5 Series E60/E61,530d Saloon - with particle filter,M6,2993,Diesel,0.170,http://www.vcacarfueldata.org.uk/downloads/latest.asp 18 April 2007,1.15*value*user_distance_km
BMW,5 Series E60/E61,530d Saloon - with particle filter,A6,2993,Diesel,0.176,http://www.vcacarfueldata.org.uk/downloads/latest.asp 18 April 2007,1.15*value*user_distance_km
BMW,5 Series E60/E61,535d Saloon - with particle filter,A6,2993,Diesel,0.182,http://www.vcacarfueldata.org.uk/downloads/latest.asp 18 April 2007,1.15*value*user_distance_km
BMW,5 Series E60/E61,520d Touring - with particle filter,M6,1995,Diesel,0.162,http://www.vcacarfueldata.org.uk/downloads/latest.asp 30 November 2006,1.15*value*user_distance_km
BMW,5 Series E60/E61,520d Touring - with particle filter,A6,1995,Diesel,0.189,http://www.vcacarfueldata.org.uk/downloads/latest.asp 30 November 2006,1.15*value*user_distance_km
BMW,5 Series E60/E61,525d Touring - with particle filter,M6,2993,Diesel,0.171,http://www.vcacarfueldata.org.uk/downloads/latest.asp 18 April 2007,1.15*value*user_distance_km
BMW,5 Series E60/E61,525d Touring - with particle filter,A6,2993,Diesel,0.176,http://www.vcacarfueldata.org.uk/downloads/latest.asp 18 April 2007,1.15*value*user_distance_km
BMW,5 Series E60/E61,530d Touring - with particle filter,M6,2993,Diesel,0.176,http://www.vcacarfueldata.org.uk/downloads/latest.asp 18 April 2007,1.15*value*user_distance_km
BMW,5 Series E60/E61,530d Touring - with particle filter,A6,2993,Diesel,0.180,http://www.vcacarfueldata.org.uk/downloads/latest.asp 18 April 2007,1.15*value*user_distance_km
BMW,5 Series E60/E61,535d Touring - with particle filter,A6,2993,Diesel,0.186,http://www.vcacarfueldata.org.uk/downloads/latest.asp 18 April 2007,1.15*value*user_distance_km
BMW,5 Series E60/E61,523i Saloon,M6,2497,Petrol,0.174,http://www.vcacarfueldata.org.uk/downloads/latest.asp 18 April 2007,1.15*value*user_distance_km
BMW,5 Series E60/E61,523i Saloon,A6,2497,Petrol,0.178,http://www.vcacarfueldata.org.uk/downloads/latest.asp 18 April 2007,1.15*value*user_distance_km
BMW,5 Series E60/E61,525i Saloon,M6,2996,Petrol,0.176,http://www.vcacarfueldata.org.uk/downloads/latest.asp 18 April 2007,1.15*value*user_distance_km
BMW,5 Series E60/E61,525i Saloon,A6,2996,Petrol,0.178,http://www.vcacarfueldata.org.uk/downloads/latest.asp 18 April 2007,1.15*value*user_distance_km
BMW,5 Series E60/E61,530i Saloon,M6,2996,Petrol,0.182,http://www.vcacarfueldata.org.uk/downloads/latest.asp 18 April 2007,1.15*value*user_distance_km
BMW,5 Series E60/E61,530i Saloon,A6,2996,Petrol,0.178,http://www.vcacarfueldata.org.uk/downloads/latest.asp 18 April 2007,1.15*value*user_distance_km
BMW,5 Series E60/E61,540i Saloon,M6,4000,Petrol,0.250,http://www.vcacarfueldata.org.uk/downloads/latest.asp 18 April 2007,1.15*value*user_distance_km
BMW,5 Series E60/E61,540i Saloon,A6,4000,Petrol,0.232,http://www.vcacarfueldata.org.uk/downloads/latest.asp 18 April 2007,1.15*value*user_distance_km
BMW,5 Series E60/E61,550i Saloon,M6,4799,Petrol,0.260,http://www.vcacarfueldata.org.uk/downloads/latest.asp 18 April 2007,1.15*value*user_distance_km
BMW,5 Series E60/E61,550i Saloon,A6,4799,Petrol,0.246,http://www.vcacarfueldata.org.uk/downloads/latest.asp 18 April 2007,1.15*value*user_distance_km
BMW,5 Series E60/E61,M5 Saloon,SMG 7,4999,Petrol,0.357,http://www.vcacarfueldata.org.uk/downloads/latest.asp 20 December 2004,1.15*value*user_distance_km
BMW,5 Series E60/E61,523i Touring,M6,2497,Petrol,0.183,http://www.vcacarfueldata.org.uk/downloads/latest.asp 18 April 2007,1.15*value*user_distance_km
BMW,5 Series E60/E61,523i Touring,A6,2497,Petrol,0.184,http://www.vcacarfueldata.org.uk/downloads/latest.asp 18 April 2007,1.15*value*user_distance_km
BMW,5 Series E60/E61,525i Touring,M6,2996,Petrol,0.183,http://www.vcacarfueldata.org.uk/downloads/latest.asp 18 April 2007,1.15*value*user_distance_km
BMW,5 Series E60/E61,525i Touring,A6,2996,Petrol,0.184,http://www.vcacarfueldata.org.uk/downloads/latest.asp 18 April 2007,1.15*value*user_distance_km
BMW,5 Series E60/E61,530i Touring,M6,2996,Petrol,0.187,http://www.vcacarfueldata.org.uk/downloads/latest.asp 18 April 2007,1.15*value*user_distance_km
BMW,5 Series E60/E61,530i Touring,A6,2996,Petrol,0.184,http://www.vcacarfueldata.org.uk/downloads/latest.asp 18 April 2007,1.15*value*user_distance_km
BMW,5 Series E60/E61,550i Touring,M6,4799,Petrol,0.267,http://www.vcacarfueldata.org.uk/downloads/latest.asp 18 April 2007,1.15*value*user_distance_km
BMW,5 Series E60/E61,550i Touring,A6,4799,Petrol,0.254,http://www.vcacarfueldata.org.uk/downloads/latest.asp 18 April 2007,1.15*value*user_distance_km
BMW,5 Series E60/E61,M5 Touring,SMG 7,4999,Petrol,0.361,http://www.vcacarfueldata.org.uk/downloads/latest.asp 18 April 2007,1.15*value*user_distance_km
BMW,6 Series E63/E64,630i Coupé,M6,2996,Petrol,0.216,http://www.vcacarfueldata.org.uk/downloads/latest.asp 03 August 2005,1.15*value*user_distance_km
BMW,6 Series E63/E64,630i Coupé,A6,2996,Petrol,0.226,http://www.vcacarfueldata.org.uk/downloads/latest.asp 03 August 2005,1.15*value*user_distance_km
BMW,6 Series E63/E64,650i Coupé,M6,4799,Petrol,0.286,http://www.vcacarfueldata.org.uk/downloads/latest.asp 27 October 2005,1.15*value*user_distance_km
BMW,6 Series E63/E64,650i Coupé,A6,4799,Petrol,0.267,http://www.vcacarfueldata.org.uk/downloads/latest.asp 27 October 2005,1.15*value*user_distance_km
BMW,6 Series E63/E64,M6 Coupé,SMG 7,4999,Petrol,0.357,http://www.vcacarfueldata.org.uk/downloads/latest.asp 28 September 2005,1.15*value*user_distance_km
BMW,6 Series E63/E64,630i Convertible,M6,2996,Petrol,0.229,http://www.vcacarfueldata.org.uk/downloads/latest.asp 03 August 2005,1.15*value*user_distance_km
BMW,6 Series E63/E64,630i Convertible,A6,2996,Petrol,0.238,http://www.vcacarfueldata.org.uk/downloads/latest.asp 03 August 2005,1.15*value*user_distance_km
BMW,6 Series E63/E64,650i Convertible,M6,4799,Petrol,0.310,http://www.vcacarfueldata.org.uk/downloads/latest.asp 27 October 2005,1.15*value*user_distance_km
BMW,6 Series E63/E64,650i Convertible,A6,4799,Petrol,0.281,http://www.vcacarfueldata.org.uk/downloads/latest.asp 27 October 2005,1.15*value*user_distance_km
BMW,6 Series E63/E64,M6 Convertible,SMG 7,4999,Petrol,0.366,http://www.vcacarfueldata.org.uk/downloads/latest.asp 25 July 2006,1.15*value*user_distance_km
BMW,7 Series E65/E66,730d Saloon - with particle filter,A6,2993,Diesel,0.216,http://www.vcacarfueldata.org.uk/downloads/latest.asp 30 November 2006,1.15*value*user_distance_km
BMW,7 Series E65/E66,730Ld Saloon - with particle filter,A6,2993,Diesel,0.216,http://www.vcacarfueldata.org.uk/downloads/latest.asp 30 November 2006,1.15*value*user_distance_km
BMW,7 Series E65/E66,730i Saloon,A6,2996,Petrol,0.241,http://www.vcacarfueldata.org.uk/downloads/latest.asp 12 April 2005,1.15*value*user_distance_km
BMW,7 Series E65/E66,730Li Saloon,A6,2996,Petrol,0.242,http://www.vcacarfueldata.org.uk/downloads/latest.asp 12 April 2005,1.15*value*user_distance_km
BMW,7 Series E65/E66,740i Saloon,A6,4000,Petrol,0.267,http://www.vcacarfueldata.org.uk/downloads/latest.asp 25 May 2005,1.15*value*user_distance_km
BMW,7 Series E65/E66,740Li Saloon,A6,4000,Petrol,0.268,http://www.vcacarfueldata.org.uk/downloads/latest.asp 25 May 2005,1.15*value*user_distance_km
BMW,7 Series E65/E66,750i Saloon,A6,4799,Petrol,0.271,http://www.vcacarfueldata.org.uk/downloads/latest.asp 25 May 2005,1.15*value*user_distance_km
BMW,7 Series E65/E66,750Li Saloon,A6,4799,Petrol,0.272,http://www.vcacarfueldata.org.uk/downloads/latest.asp 25 May 2005,1.15*value*user_distance_km
BMW,7 Series E65/E66,760i Saloon,A6,5972,Petrol,0.327,http://www.vcacarfueldata.org.uk/downloads/latest.asp 28 September 2006,1.15*value*user_distance_km
BMW,7 Series E65/E66,760Li Saloon,A6,5972,Petrol,0.327,http://www.vcacarfueldata.org.uk/downloads/latest.asp 28 September 2006,1.15*value*user_distance_km
BMW,X3 Series E83,X3 2.0d - with particle filter,M6,1995,Diesel,0.191,http://www.vcacarfueldata.org.uk/downloads/latest.asp 30 November 2006,1.15*value*user_distance_km
BMW,X3 Series E83,X3 3.0d - with particle filter,M6,2993,Diesel,0.210,http://www.vcacarfueldata.org.uk/downloads/latest.asp 30 November 2006,1.15*value*user_distance_km
BMW,X3 Series E83,X3 3.0d - with particle filter,A6,2993,Diesel,0.229,http://www.vcacarfueldata.org.uk/downloads/latest.asp 30 November 2006,1.15*value*user_distance_km
BMW,X3 Series E83,X3 3.0sd - with particle filter,A6,2993,Diesel,0.232,http://www.vcacarfueldata.org.uk/downloads/latest.asp 30 November 2006,1.15*value*user_distance_km
BMW,X3 Series E83,X3 2.5si,M6,2497,Petrol,0.238,http://www.vcacarfueldata.org.uk/downloads/latest.asp 28 September 2006,1.15*value*user_distance_km
BMW,X3 Series E83,X3 2.5si,A6,2497,Petrol,0.243,http://www.vcacarfueldata.org.uk/downloads/latest.asp 28 September 2006,1.15*value*user_distance_km
BMW,X3 Series E83,X3 3.0si,A6,2996,Petrol,0.248,http://www.vcacarfueldata.org.uk/downloads/latest.asp 28 September 2006,1.15*value*user_distance_km
BMW,X5 Series E70,X5 3.0d - with particle filter,A6,2993,Diesel,0.231,http://www.vcacarfueldata.org.uk/downloads/latest.asp 30 November 2006,1.15*value*user_distance_km
BMW,X5 Series E70,X5 3.0si,A6,2996,Petrol,0.260,http://www.vcacarfueldata.org.uk/downloads/latest.asp 12 February 2007,1.15*value*user_distance_km
BMW,X5 Series E70,X5 4.8i,A6,4799,Petrol,0.299,http://www.vcacarfueldata.org.uk/downloads/latest.asp 17 November 2006,1.15*value*user_distance_km
BMW,Z4 Series E85/E86,Z4 2.0i Roadster,M6,1995,Petrol,0.181,http://www.vcacarfueldata.org.uk/downloads/latest.asp 18 February 2005,1.15*value*user_distance_km
BMW,Z4 Series E85/E86,Z4 2.5i Roadster,M6,2497,Petrol,0.197,http://www.vcacarfueldata.org.uk/downloads/latest.asp 06 January 2006,1.15*value*user_distance_km
BMW,Z4 Series E85/E86,Z4 2.5i Roadster,A6,2497,Petrol,0.202,http://www.vcacarfueldata.org.uk/downloads/latest.asp 06 January 2006,1.15*value*user_distance_km
BMW,Z4 Series E85/E86,Z4 2.5si Roadster,M6,2497,Petrol,0.202,http://www.vcacarfueldata.org.uk/downloads/latest.asp 06 January 2006,1.15*value*user_distance_km
BMW,Z4 Series E85/E86,Z4 2.5si Roadster,A6,2497,Petrol,0.216,http://www.vcacarfueldata.org.uk/downloads/latest.asp 06 January 2006,1.15*value*user_distance_km
BMW,Z4 Series E85/E86,Z4 3.0si Roadster,M6,2996,Petrol,0.207,http://www.vcacarfueldata.org.uk/downloads/latest.asp 06 January 2006,1.15*value*user_distance_km
BMW,Z4 Series E85/E86,Z4 3.0si Roadster,A6,2996,Petrol,0.217,http://www.vcacarfueldata.org.uk/downloads/latest.asp 06 January 2006,1.15*value*user_distance_km
BMW,Z4 Series E85/E86,Z4 M Roadster,M6,3246,Petrol,0.292,http://www.vcacarfueldata.org.uk/downloads/latest.asp 06 January 2006,1.15*value*user_distance_km
BMW,Z4 Series E85/E86,Z4 3.0si Coupé,M6,2996,Petrol,0.213,http://www.vcacarfueldata.org.uk/downloads/latest.asp 07 February 2006,1.15*value*user_distance_km
BMW,Z4 Series E85/E86,Z4 3.0si Coupé,A6,2996,Petrol,0.216,http://www.vcacarfueldata.org.uk/downloads/latest.asp 07 February 2006,1.15*value*user_distance_km
BMW,Z4 Series E85/E86,Z4 M Coupé,M6,3246,Petrol,0.292,http://www.vcacarfueldata.org.uk/downloads/latest.asp 07 February 2006,1.15*value*user_distance_km
CADILLAC,BLS,1.9D 150 hp,M6,1910,Diesel,0.164,http://www.vcacarfueldata.org.uk/downloads/latest.asp 26 January 2006,1.15*value*user_distance_km
CADILLAC,BLS,1.9D 150 hp AUT,A6,1910,Diesel,0.194,http://www.vcacarfueldata.org.uk/downloads/latest.asp 26 January 2006,1.15*value*user_distance_km
CADILLAC,BLS,1.9D 150 hp (07MY),M6,1910,Diesel,0.164,http://www.vcacarfueldata.org.uk/downloads/latest.asp 26 July 2006,1.15*value*user_distance_km
CADILLAC,BLS,2.0T 175 hp,M5,1998,Petrol,0.193,http://www.vcacarfueldata.org.uk/downloads/latest.asp 25 January 2006,1.15*value*user_distance_km
CADILLAC,BLS,2.0T 175 hp,M6,1998,Petrol,0.197,http://www.vcacarfueldata.org.uk/downloads/latest.asp 17 July 2006,1.15*value*user_distance_km
CADILLAC,BLS,2.0T 175 hp AUT,A5,1998,Petrol,0.216,http://www.vcacarfueldata.org.uk/downloads/latest.asp 25 January 2006,1.15*value*user_distance_km
CADILLAC,BLS,2.0T 210 hp,M6,1998,Petrol,0.202,http://www.vcacarfueldata.org.uk/downloads/latest.asp 25 January 2006,1.15*value*user_distance_km
CADILLAC,BLS,2.0T 210 hp AUT,A5,1998,Petrol,0.218,http://www.vcacarfueldata.org.uk/downloads/latest.asp 25 January 2006,1.15*value*user_distance_km
CADILLAC,BLS,2.8T V6 255 hp,M6,2792,Petrol,0.245,http://www.vcacarfueldata.org.uk/downloads/latest.asp 25 January 2006,1.15*value*user_distance_km
CADILLAC,BLS,2.8T V6 255 hp AUT,A6,2792,Petrol,0.259,http://www.vcacarfueldata.org.uk/downloads/latest.asp 25 January 2006,1.15*value*user_distance_km
CADILLAC,CTS,2.8 - V6,M6,2792,Petrol,0.284,http://www.vcacarfueldata.org.uk/downloads/latest.asp 24 June 2005,1.15*value*user_distance_km
CADILLAC,CTS,2.8 - V6 AUT,A5,2792,Petrol,0.278,http://www.vcacarfueldata.org.uk/downloads/latest.asp 24 June 2005,1.15*value*user_distance_km
CADILLAC,CTS,3.6 - V6,M6,3564,Petrol,0.269,http://www.vcacarfueldata.org.uk/downloads/latest.asp 24 June 2005,1.15*value*user_distance_km
CADILLAC,CTS,3.6 - V6 AUT,A5,3564,Petrol,0.275,http://www.vcacarfueldata.org.uk/downloads/latest.asp 24 June 2005,1.15*value*user_distance_km
CADILLAC,Escalade,6.2 - V8 AUT,A6,6162,Petrol,0.383,http://www.vcacarfueldata.org.uk/downloads/latest.asp 01 September 2006,1.15*value*user_distance_km
CADILLAC,SRX,3.6 - V6 AUT,A5,3564,Petrol,0.349,http://www.vcacarfueldata.org.uk/downloads/latest.asp 24 June 2005,1.15*value*user_distance_km
CADILLAC,SRX,4.6 - V8 AUT,A5,4565,Petrol,0.331,http://www.vcacarfueldata.org.uk/downloads/latest.asp 24 June 2005,1.15*value*user_distance_km
CADILLAC,SRX,3.6 - V6 AUT RWD,A5,3564,Petrol,0.310,http://www.vcacarfueldata.org.uk/downloads/latest.asp 23 February 2007,1.15*value*user_distance_km
CADILLAC,SRX,3.6 - V6 AUT (07MY),A5,3564,Petrol,0.332,http://www.vcacarfueldata.org.uk/downloads/latest.asp 23 February 2007,1.15*value*user_distance_km
CADILLAC,SRX,4.6 - V8 AUT (07MY),A6,4565,Petrol,0.396,http://www.vcacarfueldata.org.uk/downloads/latest.asp 23 February 2007,1.15*value*user_distance_km
CADILLAC,STS,3.6 - V6 AUT,A5,3564,Petrol,0.295,http://www.vcacarfueldata.org.uk/downloads/latest.asp 09 August 2005,1.15*value*user_distance_km
CADILLAC,STS,4.6 - V8 AUT,A5,4565,Petrol,0.343,http://www.vcacarfueldata.org.uk/downloads/latest.asp 09 August 2005,1.15*value*user_distance_km
CADILLAC,STS,4.6 - V8 AUT (07MY),A6,4565,Petrol,0.314,http://www.vcacarfueldata.org.uk/downloads/latest.asp 26 February 2007,1.15*value*user_distance_km
CADILLAC,STS,4.6 - V8 AUT AWD,A6,4565,Petrol,0.336,http://www.vcacarfueldata.org.uk/downloads/latest.asp 26 February 2007,1.15*value*user_distance_km
CADILLAC,STS-V,4.4 - V8 AUT,A6,4368,Petrol,0.370,http://www.vcacarfueldata.org.uk/downloads/latest.asp 17 October 2005,1.15*value*user_distance_km
CADILLAC,STS-V,4.4 - V8 AUT (07MY),A6,4368,Petrol,0.379,http://www.vcacarfueldata.org.uk/downloads/latest.asp 26 February 2007,1.15*value*user_distance_km
CADILLAC,XLR,4.6 - V8 AUT,A6,4565,Petrol,0.305,http://www.vcacarfueldata.org.uk/downloads/latest.asp 23 February 2007,1.15*value*user_distance_km
CADILLAC,XLR,4.6 - V8 AUT,A5,4565,Petrol,0.291,http://www.vcacarfueldata.org.uk/downloads/latest.asp 24 June 2005,1.15*value*user_distance_km
CADILLAC,XLR (06MY),4.6 - V8 AUT,A5,4565,Petrol,0.297,http://www.vcacarfueldata.org.uk/downloads/latest.asp 03 March 2006,1.15*value*user_distance_km
CADILLAC,XLR-V,4.4 - V8 AUT,A6,4368,Petrol,0.354,http://www.vcacarfueldata.org.uk/downloads/latest.asp 13 September 2005,1.15*value*user_distance_km
CADILLAC,XLR-V,4.4 - V8 AUT,A6,4368,Petrol,0.339,http://www.vcacarfueldata.org.uk/downloads/latest.asp 23 February 2007,1.15*value*user_distance_km
CHEVROLET,Captiva ,LT 4WD 5 seats,M5,1991,Diesel,0.197,http://www.vcacarfueldata.org.uk/downloads/latest.asp 01 March 2007,1.15*value*user_distance_km
CHEVROLET,Captiva ,LT 4WD 7 seats,M5,1991,Diesel,0.197,http://www.vcacarfueldata.org.uk/downloads/latest.asp 01 March 2007,1.15*value*user_distance_km
CHEVROLET,Captiva ,LT 4WD 7 seats,A5,1991,Diesel,0.233,http://www.vcacarfueldata.org.uk/downloads/latest.asp 01 March 2007,1.15*value*user_distance_km
CHEVROLET,Captiva ,LTX 4WD 7 seats,M5,1991,Diesel,0.197,http://www.vcacarfueldata.org.uk/downloads/latest.asp 01 March 2007,1.15*value*user_distance_km
CHEVROLET,Captiva ,LTX 4WD 7 seats,A5,1991,Diesel,0.233,http://www.vcacarfueldata.org.uk/downloads/latest.asp 01 March 2007,1.15*value*user_distance_km
CHEVROLET,Captiva ,LS 2WD 5 seats,M5,2405,Petrol,0.217,http://www.vcacarfueldata.org.uk/downloads/latest.asp 01 March 2007,1.15*value*user_distance_km
CHEVROLET,Kalos,1.2 S 3 door Hatchback MY06,M5,1150,Petrol,0.153,http://www.vcacarfueldata.org.uk/downloads/latest.asp 05 August 2005,1.15*value*user_distance_km
CHEVROLET,Kalos,1.2 SE 5 door Hatchback (With a/c),M5,1150,Petrol,0.153,http://www.vcacarfueldata.org.uk/downloads/latest.asp 01 March 2007,1.15*value*user_distance_km
CHEVROLET,Kalos,1.4 SX 5 door Hatchback,M5,1399,Petrol,0.165,http://www.vcacarfueldata.org.uk/downloads/latest.asp 01 March 2007,1.15*value*user_distance_km
CHEVROLET,Kalos,1.4 SX Auto 5 door Hatchback,A4,1399,Petrol,0.169,http://www.vcacarfueldata.org.uk/downloads/latest.asp 01 March 2007,1.15*value*user_distance_km
CHEVROLET,Lacetti,1.4 SE 5 door Hatchback (With a/c),M5,1399,Petrol,0.171,http://www.vcacarfueldata.org.uk/downloads/latest.asp 01 March 2007,1.15*value*user_distance_km
CHEVROLET,Lacetti,1.4 SE 5 door Hatchback (Without a/c),M5,1399,Petrol,0.171,http://www.vcacarfueldata.org.uk/downloads/latest.asp 01 March 2007,1.15*value*user_distance_km
CHEVROLET,Lacetti,1.6 SX 5 door Hatchback,M5,1598,Petrol,0.178,http://www.vcacarfueldata.org.uk/downloads/latest.asp 01 March 2007,1.15*value*user_distance_km
CHEVROLET,Lacetti,1.6 SX Auto 5 door Hatchback,A4,1598,Petrol,0.195,http://www.vcacarfueldata.org.uk/downloads/latest.asp 01 March 2007,1.15*value*user_distance_km
CHEVROLET,Lacetti,1.6 SX Station Wagon,M5,1598,Petrol,0.181,http://www.vcacarfueldata.org.uk/downloads/latest.asp 01 March 2007,1.15*value*user_distance_km
CHEVROLET,Lacetti,1.8 CDX 4 door Saloon,M5,1796,Petrol,0.183,http://www.vcacarfueldata.org.uk/downloads/latest.asp 01 March 2007,1.15*value*user_distance_km
CHEVROLET,Matiz (New),0.8 S 5 door Hatchback,M5,796,Petrol,0.127,http://www.vcacarfueldata.org.uk/downloads/latest.asp 05 August 2005,1.15*value*user_distance_km
CHEVROLET,Matiz (New),0.8 SE 5 door Hatchback,A4,796,Petrol,0.136,http://www.vcacarfueldata.org.uk/downloads/latest.asp 24 January 2006,1.15*value*user_distance_km
CHEVROLET,Matiz (New),1.0 SE 5 door Hatchback,M5,995,Petrol,0.139,http://www.vcacarfueldata.org.uk/downloads/latest.asp 05 August 2005,1.15*value*user_distance_km
CHEVROLET,Matiz (New),1.0 SE+ 5 door Hatchback,M5,995,Petrol,0.139,http://www.vcacarfueldata.org.uk/downloads/latest.asp 05 August 2005,1.15*value*user_distance_km
CHEVROLET,Tacuma,1.6 SX 5 door MPV,M5,1598,Petrol,0.191,http://www.vcacarfueldata.org.uk/downloads/latest.asp 01 March 2007,1.15*value*user_distance_km
CHEVROLET,Tacuma,2.0 CDX Auto 5 door MPV,A4,1998,Petrol,0.234,http://www.vcacarfueldata.org.uk/downloads/latest.asp 01 March 2007,1.15*value*user_distance_km
CHRYSLER JEEP,Chrysler 300C,3.0 CRD Saloon,A5,2987,Diesel,0.215,http://www.vcacarfueldata.org.uk/downloads/latest.asp 05 March 2007,1.15*value*user_distance_km
CHRYSLER JEEP,Chrysler 300C,3.0 CRD Touring ,A5,2987,Diesel,0.215,http://www.vcacarfueldata.org.uk/downloads/latest.asp 08 November 2006,1.15*value*user_distance_km
CHRYSLER JEEP,Chrysler 300C,3.5 V6 Saloon,A5,3518,Petrol,0.260,http://www.vcacarfueldata.org.uk/downloads/latest.asp 08 November 2006,1.15*value*user_distance_km
CHRYSLER JEEP,Chrysler 300C,3.5 V6 Touring,A5,3518,Petrol,0.265,http://www.vcacarfueldata.org.uk/downloads/latest.asp 08 November 2006,1.15*value*user_distance_km
CHRYSLER JEEP,Chrysler 300C,5.7 Hemi Saloon,A5,5654,Petrol,0.288,http://www.vcacarfueldata.org.uk/downloads/latest.asp 08 November 2006,1.15*value*user_distance_km
CHRYSLER JEEP,Chrysler 300C,5.7 V8 Touring,A5,5654,Petrol,0.295,http://www.vcacarfueldata.org.uk/downloads/latest.asp 08 November 2006,1.15*value*user_distance_km
CHRYSLER JEEP,Chrysler 300C,6.1 SRT8 Saloon,A5,6063,Petrol,0.330,http://www.vcacarfueldata.org.uk/downloads/latest.asp 05 March 2007,1.15*value*user_distance_km
CHRYSLER JEEP,Chrysler 300C,6.1 SRT8 Touring,A5,6063,Petrol,0.335,http://www.vcacarfueldata.org.uk/downloads/latest.asp 08 November 2006,1.15*value*user_distance_km
CHRYSLER JEEP,Chrysler Crossfire,Coupé ,M6,3199,Petrol,0.250,http://www.vcacarfueldata.org.uk/downloads/latest.asp 08 November 2006,1.15*value*user_distance_km
CHRYSLER JEEP,Chrysler Crossfire,Coupé ,A5,3199,Petrol,0.243,http://www.vcacarfueldata.org.uk/downloads/latest.asp 08 November 2006,1.15*value*user_distance_km
CHRYSLER JEEP,Chrysler Crossfire,Coupé SRT 6,A5,3199,Petrol,0.264,http://www.vcacarfueldata.org.uk/downloads/latest.asp 27 March 2007,1.15*value*user_distance_km
CHRYSLER JEEP,Chrysler Crossfire,Cabriolet ,M6,3199,Petrol,0.250,http://www.vcacarfueldata.org.uk/downloads/latest.asp 08 November 2006,1.15*value*user_distance_km
CHRYSLER JEEP,Chrysler Crossfire,Cabriolet,A5,3199,Petrol,0.243,http://www.vcacarfueldata.org.uk/downloads/latest.asp 08 November 2006,1.15*value*user_distance_km
CHRYSLER JEEP,Chrysler Crossfire,Cabriolet SRT6,A5,3199,Petrol,0.264,http://www.vcacarfueldata.org.uk/downloads/latest.asp 27 March 2007,1.15*value*user_distance_km
CHRYSLER JEEP,Chrysler Grand Voyager,2.8td,A4,2776,Diesel,0.225,http://www.vcacarfueldata.org.uk/downloads/latest.asp 05 March 2007,1.15*value*user_distance_km
CHRYSLER JEEP,Chrysler Grand Voyager,3.3,A4,3301,Petrol,0.304,http://www.vcacarfueldata.org.uk/downloads/latest.asp 05 March 2007,1.15*value*user_distance_km
CHRYSLER JEEP,Chrysler PT Cruiser,2.2 Hatchback,M5,2143,Diesel,0.177,http://www.vcacarfueldata.org.uk/downloads/latest.asp 05 March 2007,1.15*value*user_distance_km
CHRYSLER JEEP,Chrysler PT Cruiser,2.4 Hatchback,M5,2429,Petrol,0.223,http://www.vcacarfueldata.org.uk/downloads/latest.asp 05 March 2007,1.15*value*user_distance_km
CHRYSLER JEEP,Chrysler PT Cruiser,2.4 Hatchback,A4,2429,Petrol,0.240,http://www.vcacarfueldata.org.uk/downloads/latest.asp 05 March 2007,1.15*value*user_distance_km
CHRYSLER JEEP,Chrysler PT Cruiser,2.4 Cabriolet,M5,2429,Petrol,0.223,http://www.vcacarfueldata.org.uk/downloads/latest.asp 05 March 2007,1.15*value*user_distance_km
CHRYSLER JEEP,Chrysler PT Cruiser,2.4 Cabriolet,A4,2429,Petrol,0.246,http://www.vcacarfueldata.org.uk/downloads/latest.asp 05 March 2007,1.15*value*user_distance_km
