"type","section","useOR","condition1","condition2","condition3","content","icon","isWellDone","carbonSaving","briefTipContent","individualSavingPerYear","countryWideSavingPerYear","cost","links","easiestToDo","saveYouMoney","units","source","algorithm","default"
"good washing machine","appliances","FALSE","/home/appliances/kitchen/generic:device=*ing machine*%26rating=A|A+","!/home/appliances/kitchen/generic:device=Washing machine%26rating=A%26age=over 12 years%26temperature=30:name=none",,"Great news
You already own one of the most efficient washing machines on the market, which means you’re saving around 32kg of CO2 each year compared to a less efficient old model.  But don’t forget to do full loads for each wash, on the economy setting, and turn to 30°C whenever possible, so you save even more!",,"TRUE",,"Thank you for investing in a top rated washing machine",,,,"&lt;link&gt;&lt;linktext&gt;If you are thinking about buying other energy saving products click here:&lt;/linktext&gt;&lt;linkurl&gt;http://www.energysavingtrust.org.uk/energy_saving_products &lt;/linkurl&gt;&lt;/link&gt;","medium","medium",,"defra 2008",,
"washing machine high temperature","appliances","FALSE","/home/appliances/kitchen/generic:device=*ing machine*%26temperature=60|90",,,"The facts 
Keeping our clothes fresh and clean has become less of chore thanks to machines that clean our clothes and banish every stain going. The average household runs 274 cycles a year, often at 60˚C or higher, but this can be reduced to save you money and emissions.

What you can do 
Using a 40°C wash cycle uses around 40% less energy than at 60˚C, and if you reduce the wash temperature even further to a 30°C cycle for lightly soiled / ‘worn once’ garments, the amount of energy saved will be even higher.","temperature.swf","FALSE","Low","Wash clothes at low (30/40 degree) temperatures whenever possible","%A311",,,,"high","medium",,"defra 2008",,
"has dryer 1","appliances","FALSE","!/home/appliances/kitchen/generic:device=Washer/dryer%26age=-%26temperature=-%26rating=-:name=none",,,"The facts 
Almost 60% of UK households now use a tumble drier instead of drying their clothes outside. While it may seem convenient, an average cycle emits 1.3kg of CO2, and makes your carbon footprint bigger than it could be.

What you can do
It’s tempting to throw your wet clothes in the drier, but you could get much fresher and often faster results from line drying. If the weather isn’t great, invest in a drying rack which can be put up inside. If you do need to tumble dry, consider replacing your existing tumble dryer with a heat pump dryer. They’re up to 25% more energy efficient than conventional electric dryers, typically save up to 45 kg CO2 per year and best of all, they’ll also reduce your electricity bill.","new_tumbledryer.swf","FALSE","Low","In dry weather use an outside line rather than your dryer (assume 4 months per year)","%A316","no","no",,"high","medium",,"defra 2008",,
"no washing line","appliances","FALSE","!/home/appliances/kitchen/generic:device=Washing line%26age=-%26temperature=-%26rating=-",,,"What you can do
It’s tempting to throw your wet clothes in the drier, but you could get much fresher and often faster results from line drying. If the weather isn’t great, invest in a drying rack which can be put up inside. If you do need to tumble dry, consider replacing your existing tumble dryer with a heat pump dryer","washing_line.swf","FALSE","Low",,"%A316",,,"&lt;link&gt;&lt;linktext&gt;Find Energy Saving Recommended products:&lt;/linktext&gt;&lt;linkurl&gt;http://www.energysavingtrust.org.uk/energy_saving_products&lt;/linkurl&gt;&lt;/link&gt;","high","medium",,"defra 2008",,
"has TVs 1","appliances","FALSE","!/home/appliances/televisions/generic:size=15%22%26type=LCD:name=none",,,"The facts

TVs are now part of the furniture in most households, with one in the living room and often another in the kitchen and/or bedroom. They can use a lot of energy, and are often left on standby, so it’s worth making sure you’re using them efficiently.
 
What you can do
When you buy a new TV look for the Energy Saving Recommended (ESR) label, this will mean you are sure of buying the most efficient TV in its class. Also, your new TV might come with much brighter settings than needed for your living room, so you can save money and cut CO2 emissions by turning the brightness and contrast down to a comfortable level.   Remember always to switch your TV off completely when you have finished watching, either using the ‘off’ button on the TV itself or by switching it off at the wall.","new_tv.swf","FALSE","Low","Turn the brightness and contrast down on brand new TVs",,"no","no",,"high","medium",,"defra 2008",,
"has TVs 2","appliances","FALSE","!/home/appliances/televisions/generic:size=15%22%26type=LCD:name=none",,,"The facts 
What should teh copy be - i don't think this is a relevent tip","new_tv.swf","FALSE","Low","Choose an IDTV when buying a new TV",,,,"&lt;link&gt;&lt;linktext&gt;Click here to find an Energy Saving Recommended IDTV's:&lt;/linktext&gt;&lt;linkurl&gt;http://www.energysavingtrust.org.uk/proxy/view/full/407/recommendedproducts &lt;/linkurl&gt;&lt;/link&gt;","High","low",,"defra 2008",,
"has video","appliances","FALSE","!/home/appliances/entertainment/generic:device=Video%26rating=DVD%26name=none",,,"TIP NEEEDS TO BE REMOVED","No","FALSE",,,,,,,,,,"defra 2008",,
"has digital radio","appliances","FALSE","/home/appliances/entertainment/generic:device=Radio%26rating=digital",,,"The facts 

Although digital radios are great for their wide variety of music stations, they can use up to 5 times more energy than analogue radios. 
What you can do
If you are in the market for a new digital radio, look for the Energy Saving Recommended (ESR) label, this will ensure you are buying a radio that uses minimum energy.  Make sure your digital radio is always switched off completely at the wall, rather than leaving it on standby.","Digital radio","FALSE","Low","Switch your digital radio off at the plug when not in use",,,"no","&lt;link&gt;&lt;linktext&gt;Click here to see other energy saving tips you can do today:&lt;/linktext&gt;&lt;linkurl&gt;http://www.energysavingtrust.org.uk/what_can_i_do_today/cheap_and_simple_tips &lt;/linkurl&gt;&lt;/link&gt;","high","low",,"defra 2008",,
"high entertainment standby","appliances","FALSE","/home/appliances/entertainment/generic:device=standby%26rating=-:onStandby=always",,,"The facts
Across the UK we waste the equivalent of nearly one power stations? worth of electricity each year simply by leaving our appliances on standby mode. 

What you can do 
if everyone avoided standby we could save up to %A3900 million per year and save 1.6 million tonnes of CO2 a year.","entertainment standby image","FALSE","Low","Avoid leaving electrical appliances and equipment on stand-by","%A337",,,"&lt;link&gt;&lt;linktext&gt;Click here to see other energy saving tips you can do today:&lt;/linktext&gt;&lt;linkurl&gt;http://www.energysavingtrust.org.uk/what_can_i_do_today/cheap_and_simple_tips &lt;/linkurl&gt;&lt;/link&gt;","high","low",,"defra 2008",,
"low entertainment standby","appliances","FALSE","/home/appliances/entertainment/generic:device=standby%26rating=-:onStandby=never",,,"Great news
If you never leave your entertainment equipment on stand-by, and you switch everything off properly, you are saving yourself around £37 each year, and reducing your CO2 emissions","N/A","TRUE",,"Thank you for avoiding leaving electrical equipment on standy-by","%A337",,,"&lt;link&gt;&lt;linktext&gt;Click here to see other energy saving tips you can do today:&lt;/linktext&gt;&lt;linkurl&gt;http://www.energysavingtrust.org.uk/what_can_i_do_today/cheap_and_simple_tips &lt;/linkurl&gt;&lt;/link&gt;","high","high",,"defra 2008",,
"no PSUs","appliances","FALSE","!/home/appliances/computers/generic:device=PSU%26rating=typical:numberOwned=0",,,"Great news 
You never leave power supply plugs on stand-by. Power supply plugs are the bulky style ones used for mobile phones or laptop chargers, and they continue to consume energy when not charging, but by turning yours right off, you’re saving money and reducing your CO2 emissions.","N/A","TRUE",,"Thank you for not leaving charging plugs on when not in use.",,,,"&lt;link&gt;&lt;linktext&gt;Click here to see other energy saving tips you can do today:&lt;/linktext&gt;&lt;linkurl&gt;http://www.energysavingtrust.org.uk/what_can_i_do_today/cheap_and_simple_tips &lt;/linkurl&gt;&lt;/link&gt;",,,,"defra 2008",,
"many PSUs","appliances","FALSE","!/home/appliances/computers/generic:device=PSU%26rating=typical:numberOwned&gt;4",,,"The facts
If every household in the UK leaves just one mobile phone charger plugged in each time they charge up their phone, that wastes over %A35.8 million, and results in almost a quarter of a million additional tonnes of CO2. 

What you can do
You can reduce your CO2 emissions by turning the charger off at the wall once your electrical items are recharged. If you have chargers or other power supplies that are turned on at the wall socket they will still use energy regardless of if they are charging something or not.","9 or more PSU image (power supplies plugged in","FALSE","Low","Avoid leaving phone chargers and other external power supply plugs turned on when not in use.",,"Minimal saving",,"&lt;link&gt;&lt;linktext&gt;Click here to see other energy saving tips you can do today:&lt;/linktext&gt;&lt;linkurl&gt;http://www.energysavingtrust.org.uk/what_can_i_do_today/cheap_and_simple_tips &lt;/linkurl&gt;&lt;/link&gt;","high","low",,"defra 2008",,
"has laptop","appliances","FALSE","/home/appliances/computers/generic:device=Personal Computers%26rating=Laptop",,,"Great news 
Choosing a laptop instead of a desktop is the wise energy choice.  A new laptop, on average, consumes around 15% of the power of a new desktop, whilst in ‘on’ mode.","N/A","TRUE",,"By using a laptop instead of a desk top you are reducing your emissions.",,,,,"high","low",,"defra 2008",,
"no computer","appliances","FALSE","/home/appliances/computers/generic:device=Personal Computers%26rating=Desktop%26name=none",,,"The facts
Demand for electricity to power computers has doubled in the past few years, with the average household owning at least one computer, these tend to be the older ?desktop? model that emit more CO2 than new efficient laptops.

What you can do
If you are thinking of buying a new computer consider choosing a laptop over a desktop, they are much more efficient in their consumption of energy, using only around 15% of a desktop?s energy consumption.","lap top","FALSE","Medium","When buying computer, consider choosing a laptop instead of a desktop model","%A350",,,,"medium","low",,"defra 2008",,
"has printer","appliances","FALSE","!/home/appliances/computers/generic:device=Printer%26rating=Inkjet%26name=none",,,"The facts
As a nation we own an estimated 18.5 million printers, And they tend to be left on all the time even though we often use them for just a few minutes a day.  All printers use electricity in every mode, apart from when  they?re switched off, so try to consider when you really need to have yours switched on.

What you can do 
If you have a choice of printers (especially in the office), avoid using a laser printer for draft-quality printouts. From an energy efficiency perspective, the order of preference should be inkj","Printer","FALSE","Low","Choose more efficient printers and use 'eco' functions for draft/personal material",,,,,"medium","high",,"defra 2008",,
"yes ict standby","appliances","FALSE","/home/appliances/computers/generic:device=standby%26rating=-:onStandby=always",,,"The facts 
Across the UK we waste enough electricity to power two power stations each year, just by leaving our appliances on standby mode. 

What you can do 
Always remember to turn your PC, printer and other gadgets off properly when you have finished using them. PCs in particular use a significant amount of energy when left in idle mode (on, but not in use), but significantly less in Sleep mode.  Try to adjust your PC power management settings to ensure that if they are left on by accident they automatically go into Sleepmode after a period of time.  Often PCs and printers are left in stand-by mode overnight or when no one is in the house, so remember to turn them right off at the plug to save the most money and CO2.","computer","FALSE","Low","Avoid leaving computers and their peripherals on stand-by when not in use",,,,"&lt;link&gt;&lt;linktext&gt;Click here to see other energy saving tips you can do today:&lt;/linktext&gt;&lt;linkurl&gt;http://www.energysavingtrust.org.uk/what_can_i_do_today/cheap_and_simple_tips &lt;/linkurl&gt;&lt;/link&gt;","high","low",,"defra 2008",,
"no ict standby","appliances","FALSE","/home/appliances/computers/generic:device=standby%26rating=-:onStandby=never",,,"Great news
If you never leave PC equipment on stand-by and you switch everything off, you are saving yourself around money while reducing your CO2 emissions.","laptop","TRUE",,,,,,"&lt;link&gt;&lt;linktext&gt;Click here to see other energy saving tips you can do today:&lt;/linktext&gt;&lt;linkurl&gt;http://www.energysavingtrust.org.uk/what_can_i_do_today/cheap_and_simple_tips &lt;/linkurl&gt;&lt;/link&gt;","high","low",,"defra 2008",,
"no vehicles","travel","FALSE","/transport/car/generic:size=large%26fuel=petrol:name=none",,,"Great news 
As you don’t own a motorcycle or car, you’ve reduced your footprint by around 3 tonnes, compared to the average household footprint.",,"TRUE",,,,,,,,,,"defra 2008",,
"small car","travel","FALSE","/transport/car/generic:size=*small*",,,"Great news
You own a car with a small engine, which means it emits much less CO2.  When choosing a new car, always go for the lowest CO2 emitting version and you’ll reduce your fuel consumption by up to 24%.",,"TRUE",,,"%A3375","920kgCO2/%A3375",,"&lt;link&gt;&lt;linktext&gt;Are you a smarter driver%3F Take the test to find out:&lt;/linktext&gt;&lt;linkurl&gt;http://www.energysavingtrust.org.uk/what_can_i_do_today/Smarter-driving/eco_driving_quiz  &lt;/linkurl&gt;&lt;/link&gt;",,,,"defra 2008",,
"large car","travel","FALSE","/transport/car/generic:size=*large*","!/transport/car/generic:size=large%26fuel=petrol:name=none",,"The facts
In the UK, the road transport sector produces around a quarter of the CO 2 emissions, with nearly 60 per cent coming from passenger cars, and although sometimes there is no way round not having a car, we can do more to reduce our CO2 emissions in this sector.

What you can do 
Consider choosing a lower CO2 emitting car when you replace yours. Buying the lowest CO2 car within a car category (eg family car, estate, MPV, etc) can reduce your CO2 emissions and therefore fuel consumption by up to 24%. For help choosing a lower CO2 car, search online for Act on CO2 - http://campaigns.direct.gov.uk/actonco2/home/on-the-move/top-10-fuel-efficient-cars.html","engine.swf","FALSE","High","When replacing your car, consider choosing the lowest CO2 model in its category",,,,"&lt;link&gt;&lt;linktext&gt;Are you a smarter driver%3F Take the test to find out:&lt;/linktext&gt;&lt;linkurl&gt;http://www.energysavingtrust.org.uk/what_can_i_do_today/Smarter-driving/eco_driving_quiz  &lt;/linkurl&gt;&lt;/link&gt;","Medium","High",,"defra 2008",,
"high car mileage","travel","FALSE","/transport/car/generic:ANY:distanceKmPerMonth&gt;402","!/transport/car/generic:size=large%26fuel=petrol:name=none",,"The facts
In the UK, the road transport sector produces around a quarter of the CO 2 emissions, with nearly 60 per cent coming from passenger cars, and although sometimes there is no way round not using your car, there are other ways of getting around that will help to reduce CO2.

What you can do
As you clock up quite a few miles per year, have you thought about using other ways of getting around, especially for shorter journeys? If you can, try to walk, ride a bike, car share, or use public transport. Every litre of fuel you save reduces the amount of CO2 emissions that are released into the atmosphere and your carbon footprint.","car.swf","FALSE","Low","Whenever possible, walk, bike, car share, or use public transport.",,"no",,"&lt;link&gt;&lt;linktext&gt;Reduce your fuel costs by following some simple smarter driving tips:&lt;/linktext&gt;&lt;linkurl&gt;http://www.energysavingtrust.org.uk/what_can_i_do_today/Smarter-driving &lt;/linkurl&gt;&lt;/link&gt;","High","Low",,"defra 2008",,
"low car mileage","travel","FALSE","!/transport/car/generic:ANY:distanceKmPerMonth&gt;402","!/transport/car/generic:size=large%26fuel=petrol:name=none",,"Great news 
Your yearly car mileage is around half that of the average UK citizen.  By using your car less you are saving up to 2 tonnes of CO2 per annum.",,"TRUE",,,,,,"&lt;link&gt;&lt;linktext&gt;Click here if you would like to know about other means of transport:&lt;/linktext&gt;&lt;linkurl&gt;http://www.energysavingtrust.org.uk/What-can-I-do-today/Smarter-driving/Using-alternative-transport &lt;/linkurl&gt;&lt;/link&gt;",,,,"defra 2008",,
"has vehicles 2","travel","FALSE","!/transport/car/generic:size=large%26fuel=petrol:name=none",,,"The facts
Low tyre pressure, a dirty air filter or a cluttered car can all increase the amount of CO2 you emit. These factors reduce your vehicles efficiency, which means it has to work harder and use more fuel on every journey. 

What you can do 
Make sure you keep your vehicle well tuned. Taking it in for a regular service will keep it running at its best, whilst saving you money, fuel and reducing your CO2 emissions.","car.swf","FALSE","Low","Keep your vehicle well maintained",,"no","no","&lt;link&gt;&lt;linktext&gt;Reduce your fuel costs by following some simple smarter driving tips:&lt;/linktext&gt;&lt;linkurl&gt;http://www.energysavingtrust.org.uk/what_can_i_do_today/Smarter-driving &lt;/linkurl&gt;&lt;/link&gt;","Medium","Medium",,"defra 2008",,
"has vehicles 1","travel","FALSE","!/transport/car/generic:size=large%26fuel=petrol:name=none",,,"The facts
Under-inflated tyres create more resistance when your car is moving. The engine has to work harder, more fuel is used and as a result more CO2 is emitted.

What you can do
Check and adjust your tyres regularly. Correctly inflated tyres are safer, last longer and help to reduce your CO2 emissions. If you’re unsure of the correct tyre pressure for your car, check your manual or visit your local engineer who will be able to talk you through it.","tyre.swf","FALSE","Low","It is important to check your tyre pressures regularly.",,,,"&lt;link&gt;&lt;linktext&gt;Reduce your fuel costs by following some simple smarter driving tips:&lt;/linktext&gt;&lt;linkurl&gt;http://www.energysavingtrust.org.uk/what_can_i_do_today/Smarter-driving &lt;/linkurl&gt;&lt;/link&gt;","High","Low",,"defra 2008",,
"bad driving","travel","FALSE","/transport/metadata:type=normal:ecoDriving=no",,,"The facts 
In the UK, the road transport sector produces around a quarter of the CO 2 emissions, with nearly 60 per cent coming from passenger cars. Just by driving your car in a more considered way, you could reduce your CO2 emissions, the amount of fuel you use, and your own personal footprint. 

What you can do 
Avoid erratic braking and accelerating, this uses more fuel that just driving at a consistent speed. Drive at a good distance from the car in front, so you can anticipate and travel with the flow of traffic. Keep to within the speed limit, this increases driver safety, reduces CO2 emissions and saves money on your petrol costs.","acellerator.swf","FALSE","Medium","Try to adopt a smoother driving style and avoid exessive speed.","220","220",,"&lt;link&gt;&lt;linktext&gt;Reduce your fuel costs by following some simple smarter driving tips:&lt;/linktext&gt;&lt;linkurl&gt;http://www.energysavingtrust.org.uk/what_can_i_do_today/Smarter-driving &lt;/linkurl&gt;&lt;/link&gt;","Medium","Medium",,"defra 2008",,
"no public transport","travel","FALSE","/transport/metadata:type=normal:localPublicTransport=no","/transport/metadata:type=normal:longdistancePublicTransport=no",,"The facts
Road transport accounts for 22% of all UK domestic CO2 emissions (excluding international aviation and shipping). Using your own car for every journey, short or long, increases the amount of CO2 pumped into our air, so try to use public transport whenever you can.

What you can do 
Using public transport means that there are fewer cars on the road emitting CO2. There is often a range of options available to you in your area, and it costs very little money. Plus it will reduce traffic congestion and as well as helping to lower the country’s CO2 emissions as well.","bus.swf","FALSE","Medium","Try to make more use of public transport where possible.",,,"no","&lt;link&gt;&lt;linktext&gt;Have you tried the Transportdirect travel planner to explore your different travel options for your journey%3F  It will also show you the CO2 impact of the different options.&lt;/linktext&gt;&lt;linkurl&gt;http://www.transportdirect.info &lt;/linkurl&gt;&lt;/link&gt;","Low","Low",,"defra 2008",,
"yes public transport","travel","FALSE","/transport/metadata:type=normal:localPublicTransport=yes","/transport/metadata:type=normal:longdistancePublicTransport=yes",,"Great news
As you use public transport regularly, you’re cutting your own CO2 emissions, as well as reducing congestion and pollution on the road.",,"TRUE","high",,,,"no","&lt;link&gt;&lt;linktext&gt;Have you tried the Transportdirect travel planner to explore your different travel options for your journey%3F  It will also show you the CO2 impact of the different options.&lt;/linktext&gt;&lt;linkurl&gt;http://www.transportdirect.info &lt;/linkurl&gt;&lt;/link&gt;",,,,"defra 2008",,
"high aircon usage","travel","FALSE","/transport/metadata:type=normal:airConUsage=It's on most of the time",,,"Air conditioning in cars increases fuel consumption, by not using it you can improve your consumption by between 5 and 25%.  

What you can do
If it’s really hot outside and you’re driving at speeds above 50-60mph, it’s more fuel efficient to use your air con rather than opening your windows. At this speed open windows create drag on your car, which means your engine has to work harder and uses more fuel. If you do need a bit of air, try using ordinary fan heaters or coolers as they generally have a lower impact on fuel consumption.","ac.swf","FALSE","Medium","Try to minimise the use of air conditioning.",,,"no","&lt;link&gt;&lt;linktext&gt;Reduce your fuel costs by following some simple smarter driving tips:&lt;/linktext&gt;&lt;linkurl&gt;http://www.energysavingtrust.org.uk/what_can_i_do_today/Smarter-driving &lt;/linkurl&gt;&lt;/link&gt;","High","Medium",,"defra 2008",,
"low aircon usage","travel","FALSE","!/transport/metadata:type=normal:airConUsage=It's on most of the time",,,"The facts
Air conditioning in cars increases fuel consumption, by keeping it switched off you can improve your consumption by between 5 and 25%.  

What you can do
Try to reduce your air con use. However if it’s really hot outside and you’re driving at speeds above 50-60mph, it’s more fuel efficient to use it rather than opening your windows. Open windows at this speed create drag on your car, which means your engine has to work harder and uses more fuel.",,"TRUE",,,,"no","no","&lt;link&gt;&lt;linktext&gt;Reduce your fuel costs by following some simple smarter driving tips:&lt;/linktext&gt;&lt;linkurl&gt;http://www.energysavingtrust.org.uk/what_can_i_do_today/Smarter-driving &lt;/linkurl&gt;&lt;/link&gt;",,,,"defra 2008",,
"car short journeys","travel","FALSE","/transport/metadata:type=normal:shortJourneys=I drive my car or moped",,,"The facts 
Nearly 25% of car journeys are less than 2 miles, this considering cars consume most fuel at the start of their journey, means that the majority of the short journeys you make in your car are emitting more CO2 gas than usual. 

What you can do 
Walking or cycling for short journeys is not only good for your health but could also reduce your carbon footprint.  Just walking or cycling your children a mile to and from school each day would save 280 kg of CO2 each year compared to the journey in an average car.","man_bike.swf","FALSE","Low","Try to avoid using your car for short journeys - walking or cycling can be good alternatives.",,,"no","&lt;link&gt;&lt;linktext&gt;Reduce your fuel costs by following some simple smarter driving tips:&lt;/linktext&gt;&lt;linkurl&gt;http://www.energysavingtrust.org.uk/what_can_i_do_today/Smarter-driving &lt;/linkurl&gt;&lt;/link&gt;","Medium","Low",,"defra 2008",,
"cycle walks","travel","FALSE","!/transport/other:EMPTY",,,"Great news
As you already taking short journeys by foot or bike, you’re reducing CO2, saving money and best of all, improving your health.",,"TRUE",,,,"no","no","&lt;link&gt;&lt;linktext&gt;Reduce your fuel costs by following some simple smarter driving tips:&lt;/linktext&gt;&lt;linkurl&gt;http://www.energysavingtrust.org.uk/what_can_i_do_today/Smarter-driving &lt;/linkurl&gt;&lt;/link&gt;",,,,"defra 2008",,
"car share","travel","FALSE","/transport/metadata:type=normal:carShare=yes",,,"The facts
Car sharing is when two or more people travel in a car for a journey together. It not only reduces your CO2 emissions, but means you can share the costs of fuel, parking and wear and tear on the vehicle. Car sharing with just one person will reduce your emissions by half and with four people this rises to three-quarters.

What you can do
Think about times that you could car share, maybe to and from work with a colleague, to business meetings or when you’re taking a longer journey to visit family and friends, or to a holiday destination.  Not only is car sharing a great way to help reduce your CO2 emissions, it’s also a great way to save you money as well.","car_with_passenger.swf","FALSE","Low","Try to avoid using several vehicles and  car-share for journeys where-ever possible","N/A","N/A","no","&lt;link&gt;&lt;linktext&gt;Reduce your fuel costs by following some simple smarter driving tips:&lt;/linktext&gt;&lt;linkurl&gt;http://www.energysavingtrust.org.uk/what_can_i_do_today/Smarter-driving &lt;/linkurl&gt;&lt;/link&gt;","Low","High",,"defra 2008",,
"any flights","travel","FALSE","!/transport/plane/generic:size=one way%26type=domestic;name=none",,,"The facts
Air travel now accounts for 6.3% of the UK’s total CO2 emissions, and as a whole, scientific research has proven, that its non CO2 emissions also affects our environment 2-4 times more due to its radiative forcing (the expulsion of water vapour and nitrogen oxide). 

What you can do
Instead of flying, consider holidays that you can travel to by car, or for business meetings try to share your car journey with a colleague. If you do really need to fly, then try to offset the CO2 you’ll expel in flight and use public transport to and from the airport.","flight","FALSE","Medium","Air travel is making a growing contribution to CO2 emissions.",,,"no",,"Medium","High",,"defra 2008",,
"no long flights","travel","FALSE","!/transport/plane/generic:type=*long haul*",,,"The facts
Air travel now accounts for 6.3% of the UK’s total CO2 emissions, and as a whole, scientific research has proven, that its non CO2 emissions also affects our environment 2-4 times more due to its radiative forcing (the expulsion of water vapour and nitrogen oxide). 

What you can do
Instead of flying, consider travelling by rail or car. On average travelling by rail will result in about a third of the CO2 emissions of the equivalent domestic or short-haul flight in Europe. A similar journey for two people in an average-sized car would save around 40% CO2 emissions.","short haul map","FALSE","Medium","Consider the need for a flight and the alternatives to taking a plane.",,,"no",,"Medium","Low",,"defra 2008",,
"has long haul","travel","FALSE","/transport/plane/generic:type=*long haul*",,,"The facts
Air travel now accounts for 6.3% of the UK’s total CO2 emissions, and as a whole, scientific research has proven, that its non CO2 emissions also affects our environment 2-4 times more due to its radiative forcing (the expulsion of water vapour and nitrogen oxide).
Just one long haul return flight can give you the same (or larger) footprint as driving a car for an entire year.  

What you can do
Think about taking holidays closer to home that you could drive or take a train to. For example, if you and a partner flew to Italy instead of Australia for a holiday you could save 7.52 tonnes of CO2.","Long haul map icon","FALSE","High","Just one long haul return flight can give a footprint similar to a years use for a typical car.",,,"no",,"Medium","High",,"defra 2008",,
